subjCode,positionType,emotionPrompt,targetActor,distractor1Actor,distractor2Actor,distractorEmotion1,distractorEmotion2,targetImage,distractorImage1,distractorImage2,targetLocation
Steve,vertical,Happy,004w,003w,003w,Angry,Sad,004wF_90_60.jpg,003wW_90_60.jpg,003wT_90_60.jpg,top
Steve,vertical,Angry,005m,001w,005w,Happy,Sad,005mW_90_60.jpg,001wF_90_60.jpg,005wT_90_60.jpg,bottom
Steve,horiontal,Angry,002w,001w,004m,Sad,Happy,002wW_90_60.jpg,001wT_90_60.jpg,004mF_90_60.jpg,middle
Steve,horiontal,Angry,005w,001m,005m,Happy,Sad,005wW_90_60.jpg,001mF_90_60.jpg,005mT_90_60.jpg,left
Steve,horiontal,Happy,005w,005w,005m,Sad,Angry,005wF_90_60.jpg,005wT_90_60.jpg,005mW_90_60.jpg,right
Steve,vertical,Happy,002m,003m,005m,Angry,Sad,002mF_90_60.jpg,003mW_90_60.jpg,005mT_90_60.jpg,top
Steve,vertical,Sad,002m,005w,001m,Angry,Happy,002mT_90_60.jpg,005wW_90_60.jpg,001mF_90_60.jpg,bottom
Steve,vertical,Angry,001m,002w,004m,Happy,Sad,001mW_90_60.jpg,002wF_90_60.jpg,004mT_90_60.jpg,top
Steve,vertical,Angry,004w,003w,001m,Sad,Happy,004wW_90_60.jpg,003wT_90_60.jpg,001mF_90_60.jpg,middle
Steve,horiontal,Sad,001w,002m,002w,Happy,Angry,001wT_90_60.jpg,002mF_90_60.jpg,002wW_90_60.jpg,left
Steve,horiontal,Happy,004w,002w,003w,Angry,Sad,004wF_90_60.jpg,002wW_90_60.jpg,003wT_90_60.jpg,middle
Steve,horiontal,Happy,001m,003w,004w,Sad,Angry,001mF_90_60.jpg,003wT_90_60.jpg,004wW_90_60.jpg,left
Steve,horiontal,Angry,002w,005w,005m,Happy,Sad,002wW_90_60.jpg,005wF_90_60.jpg,005mT_90_60.jpg,middle
Steve,horiontal,Angry,004m,004m,002m,Sad,Happy,004mW_90_60.jpg,004mT_90_60.jpg,002mF_90_60.jpg,middle
Steve,vertical,Sad,004w,004m,003m,Happy,Angry,004wT_90_60.jpg,004mF_90_60.jpg,003mW_90_60.jpg,top
Steve,vertical,Angry,005w,002m,002w,Sad,Happy,005wW_90_60.jpg,002mT_90_60.jpg,002wF_90_60.jpg,middle
Steve,vertical,Happy,002w,005w,002m,Sad,Angry,002wF_90_60.jpg,005wT_90_60.jpg,002mW_90_60.jpg,middle
Steve,vertical,Angry,003w,002m,002w,Happy,Sad,003wW_90_60.jpg,002mF_90_60.jpg,002wT_90_60.jpg,bottom
Steve,vertical,Happy,003w,002w,005w,Sad,Angry,003wF_90_60.jpg,002wT_90_60.jpg,005wW_90_60.jpg,bottom
Steve,vertical,Sad,003m,004w,004w,Happy,Angry,003mT_90_60.jpg,004wF_90_60.jpg,004wW_90_60.jpg,middle
Steve,horiontal,Angry,001m,001m,003w,Sad,Happy,001mW_90_60.jpg,001mT_90_60.jpg,003wF_90_60.jpg,right
Steve,vertical,Happy,001m,005w,003m,Sad,Angry,001mF_90_60.jpg,005wT_90_60.jpg,003mW_90_60.jpg,middle
Steve,horiontal,Angry,002m,004m,003w,Sad,Happy,002mW_90_60.jpg,004mT_90_60.jpg,003wF_90_60.jpg,middle
Steve,vertical,Happy,003w,002m,005w,Sad,Angry,003wF_90_60.jpg,002mT_90_60.jpg,005wW_90_60.jpg,bottom
Steve,vertical,Angry,003w,005w,002m,Sad,Happy,003wW_90_60.jpg,005wT_90_60.jpg,002mF_90_60.jpg,bottom
Steve,vertical,Angry,004m,001m,005m,Happy,Sad,004mW_90_60.jpg,001mF_90_60.jpg,005mT_90_60.jpg,bottom
Steve,vertical,Happy,004m,002w,002w,Angry,Sad,004mF_90_60.jpg,002wW_90_60.jpg,002wT_90_60.jpg,middle
Steve,vertical,Sad,001m,001w,001w,Angry,Happy,001mT_90_60.jpg,001wW_90_60.jpg,001wF_90_60.jpg,top
Steve,horiontal,Angry,004w,003w,004w,Sad,Happy,004wW_90_60.jpg,003wT_90_60.jpg,004wF_90_60.jpg,left
Steve,vertical,Sad,005w,003m,003w,Happy,Angry,005wT_90_60.jpg,003mF_90_60.jpg,003wW_90_60.jpg,middle
Steve,horiontal,Sad,004m,005w,004w,Happy,Angry,004mT_90_60.jpg,005wF_90_60.jpg,004wW_90_60.jpg,middle
Steve,vertical,Sad,005m,005w,001w,Angry,Happy,005mT_90_60.jpg,005wW_90_60.jpg,001wF_90_60.jpg,middle
Steve,horiontal,Angry,005w,005w,001m,Sad,Happy,005wW_90_60.jpg,005wT_90_60.jpg,001mF_90_60.jpg,left
Steve,horiontal,Angry,002w,001m,005m,Sad,Happy,002wW_90_60.jpg,001mT_90_60.jpg,005mF_90_60.jpg,right
Steve,vertical,Angry,001m,004w,004m,Happy,Sad,001mW_90_60.jpg,004wF_90_60.jpg,004mT_90_60.jpg,top
Steve,vertical,Sad,004m,004w,001m,Angry,Happy,004mT_90_60.jpg,004wW_90_60.jpg,001mF_90_60.jpg,top
Steve,horiontal,Happy,001m,001m,001w,Sad,Angry,001mF_90_60.jpg,001mT_90_60.jpg,001wW_90_60.jpg,left
Steve,vertical,Happy,001w,003m,004w,Sad,Angry,001wF_90_60.jpg,003mT_90_60.jpg,004wW_90_60.jpg,middle
Steve,horiontal,Angry,003w,004w,001m,Sad,Happy,003wW_90_60.jpg,004wT_90_60.jpg,001mF_90_60.jpg,left
Steve,vertical,Happy,005w,005m,002m,Sad,Angry,005wF_90_60.jpg,005mT_90_60.jpg,002mW_90_60.jpg,middle
Steve,horiontal,Sad,002w,005w,003m,Happy,Angry,002wT_90_60.jpg,005wF_90_60.jpg,003mW_90_60.jpg,left
Steve,horiontal,Angry,004m,004m,004w,Happy,Sad,004mW_90_60.jpg,004mF_90_60.jpg,004wT_90_60.jpg,right
Steve,vertical,Sad,002w,003m,004m,Angry,Happy,002wT_90_60.jpg,003mW_90_60.jpg,004mF_90_60.jpg,middle
Steve,vertical,Happy,002m,003m,001m,Angry,Sad,002mF_90_60.jpg,003mW_90_60.jpg,001mT_90_60.jpg,middle
Steve,horiontal,Happy,002w,003m,005m,Angry,Sad,002wF_90_60.jpg,003mW_90_60.jpg,005mT_90_60.jpg,middle
Steve,horiontal,Sad,003w,005m,004w,Happy,Angry,003wT_90_60.jpg,005mF_90_60.jpg,004wW_90_60.jpg,right
Steve,horiontal,Angry,003m,003w,002m,Sad,Happy,003mW_90_60.jpg,003wT_90_60.jpg,002mF_90_60.jpg,left
Steve,vertical,Sad,002w,001m,002m,Happy,Angry,002wT_90_60.jpg,001mF_90_60.jpg,002mW_90_60.jpg,top
Steve,horiontal,Happy,004w,004w,005m,Angry,Sad,004wF_90_60.jpg,004wW_90_60.jpg,005mT_90_60.jpg,left
Steve,vertical,Sad,004w,002w,004m,Angry,Happy,004wT_90_60.jpg,002wW_90_60.jpg,004mF_90_60.jpg,top
Steve,horiontal,Happy,002m,004w,001w,Sad,Angry,002mF_90_60.jpg,004wT_90_60.jpg,001wW_90_60.jpg,left
Steve,horiontal,Happy,002m,005w,005w,Sad,Angry,002mF_90_60.jpg,005wT_90_60.jpg,005wW_90_60.jpg,right
Steve,vertical,Angry,001w,004w,002m,Sad,Happy,001wW_90_60.jpg,004wT_90_60.jpg,002mF_90_60.jpg,bottom
Steve,horiontal,Happy,001w,004m,001m,Sad,Angry,001wF_90_60.jpg,004mT_90_60.jpg,001mW_90_60.jpg,right
Steve,vertical,Angry,001m,001m,004m,Happy,Sad,001mW_90_60.jpg,001mF_90_60.jpg,004mT_90_60.jpg,bottom
Steve,vertical,Angry,005w,005m,002w,Happy,Sad,005wW_90_60.jpg,005mF_90_60.jpg,002wT_90_60.jpg,middle
Steve,vertical,Angry,001w,004w,003w,Happy,Sad,001wW_90_60.jpg,004wF_90_60.jpg,003wT_90_60.jpg,bottom
Steve,horiontal,Happy,005m,001m,002m,Sad,Angry,005mF_90_60.jpg,001mT_90_60.jpg,002mW_90_60.jpg,right
Steve,horiontal,Happy,001w,004w,002w,Angry,Sad,001wF_90_60.jpg,004wW_90_60.jpg,002wT_90_60.jpg,left
Steve,horiontal,Sad,005m,004w,002w,Happy,Angry,005mT_90_60.jpg,004wF_90_60.jpg,002wW_90_60.jpg,right
Steve,vertical,Angry,004w,004m,002w,Sad,Happy,004wW_90_60.jpg,004mT_90_60.jpg,002wF_90_60.jpg,middle
Steve,horiontal,Angry,004m,002m,005m,Happy,Sad,004mW_90_60.jpg,002mF_90_60.jpg,005mT_90_60.jpg,right
Steve,horiontal,Angry,002m,003w,005w,Happy,Sad,002mW_90_60.jpg,003wF_90_60.jpg,005wT_90_60.jpg,right
Steve,vertical,Happy,002m,003w,004w,Angry,Sad,002mF_90_60.jpg,003wW_90_60.jpg,004wT_90_60.jpg,bottom
Steve,horiontal,Happy,001m,005w,005w,Sad,Angry,001mF_90_60.jpg,005wT_90_60.jpg,005wW_90_60.jpg,left
Steve,horiontal,Sad,005w,002w,001w,Angry,Happy,005wT_90_60.jpg,002wW_90_60.jpg,001wF_90_60.jpg,left
